Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,,u,0,0,1,0
2,,u,0,0,1,0
3,,u,0,0,1,0
4,,f,1,0,0,0
5,,u,0,0,1,0
6,,u,0,0,1,0
