Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,""" Onboard the clinic this day were also Nancy Koenig, a veterinary assistant, and volunteer John O''Brien of Highland Falls.",f,1,0,0,0
2,"She had worked in Sweden as a swimming instructress, a dietician and a veterinary assistant.",f,1,0,0,0
3,"ANGIE, owner of DUKE the St. Bernard, is talking to the veterinary assistant, PEGGY, in the reception area.) ANGIE: So Dr. Riley wanted me to give Duke three pills a day.",f,1,0,0,0
4,"This fuelled Manda''s interest in his own country and, after a brief spell working in a bank and as a veterinary assistant, he became a guide.",m,0,1,0,0
5,"Isolation has resulted in May lacking social graces and developing angst-ridden habits that include cutting herself with scalpel blades, lifted from the surgery where she works as a veterinary assistant, and keeping company with her best friend; a creepy, antique doll named Suzy, a birthday gift given to May as a child by her equally estranged mother, who advises her ""If you need a friend, make one"".",f,1,0,0,0
6,"Born and raised in Maine, Zach has worked with youth, and as a veterinary assistant, and has extensive experience catering industry which comes in very handy in the kitchen!",m,0,1,0,0
7,"Leta Idea, the veterinary assistant in charge, and his team spend weeks camping in the high, cold mountains trying to catch semi-wild dogs, which by now recognize Leta and disappear over the nearest hill on his arrival.",m,0,1,0,0
8,Owner has over 20 years experience as a veterinary assistant and owns and competes German Shepherd Dogs in Working Trials.,u,0,0,1,0
9,It is a step-by-step guide that gives detailed instructions on how to perform the tasks of the veterinary assistant.,u,0,0,1,0
