Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
48,"The factory manager, Mr. Zhang, took two of the workers to the local civil affairs bureau so they could bring the money in person.",m,0,1,0,0
49,"And Westcountry Beef is ""hoping to get a piece of the action,"" said Richard Davy, factory manager.",m,0,1,0,0
50,"report published by the Stationary Office in 1973 shows that the company held 23.4 % of the share capital in Cassiar Asbestos Corporation (Canada) and other shareholders in Cassiar included James Hardie Asbestos Ltd (8.8%) who themselves were joint owners with T&N of Hardie-Ferodo Pty Ltd Australia. 4.3 The Asbestos Research Council set up in the United Kingdom in 1958 had as one of its overseas associate members James Hardie and Coy Pty Ltd. 4.4 In the papers disclosed by Chase, which they had obtained from Turners, a factory manager, Mr Dolbey, referring to a proposed sighting of a new factory in Paris in 1956, advised that it be situated in a less than heavily populated area lest there be trouble. 4.5 In 1960 Dr Knox, Company Doctor at Turners, attended a conference in the United States where a doctor from Finland referred to investigations which showed x-ray findings of asbestos related injury amongst inhabitants close to asbestos mines, which caused Knox to observe ""There is a hazard in the dissemination of asbestos and other dusts and the possibility of others as",m,0,1,0,0
51,Samuel managed the London office which was responsible for imports and exports and William Isaac became the factory manager.,m,0,1,0,0
52,"But Grant Huntley, my factory manager and development chef has sliced 4,500 portions of terrine on his own in one day.",m,0,1,0,0
53,Sunday Leader editor-in-chief Lasantha Wickramatunga told the CPJ the men set fire to bundles of newspaper in the printing offices and warned the factory manager to stop publishing.,u,0,0,1,0
54,"(Page 29 : 502 words) More . . . Prince among ready meals Princes Foods'' factory manager Elliot Gledhill describes some of the issues involved in moving production from one location to another By Mick Whitworth Published: 04 November, 2005 I joined Princes eight years ago as production manager at the Southport sauces and spreadables plant.",u,0,0,1,0
55,"Fisheries Technologist, Trevor Misson, has a wide experience of the seafood industry, having been a commercial fisherman and processing factory manager before joining the organisation.",u,0,0,1,0
56,Are you factory manager?,u,0,0,1,0
57,"The story begins as a narration through the eyes of Hank Morgan, a 19th century factory manager.",m,0,1,0,0
58,"One who believes he has gained from all-male worship is an unemployed father of five from Blackpool, who went to a similar Jesus Fellowship meeting last year after he heard he was losing his job as a factory manager.",m,0,1,0,0
