Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
37,"I found out from my friend at the garage (that''s right, along with Pete the security guard and Ray the builder I have befriended the guy that does nights at the Shell).",m,0,1,0,0
38,"It appears that the horse bolted from Mr Baines''s (builder) yard, at the end of Lovers'' Lane.",m,0,1,0,0
39,"The builder is a local Pershore firm, David Everitt of LeisureScapes, and the plants are being supplied by Wyevale Nurseries here in Hereford.",m,0,1,0,0
40,Let''s pretend that you win the Lottery and you ask a builder to build you a new house...,u,0,0,1,0
41,"However, you state that the covering needs replacing, but this is something that would have to be independently assessed if you were to pursue a claim against either the surveyor or builder.",u,0,0,1,0
42,The builder claimed that he was acting under instructions and stopped work as soon as it came to his notice that consent bad not been obtained.,m,0,1,0,0
43,He was a great builder.,m,0,1,0,0
44,"Andrew''s school- boy diaries show that he wanted to be an organ builder, but in the event he went to Cambridge where he graduated in l895 and took his B.",m,0,1,0,0
45,"Example: Geotechnical site investigation report, gas test results and proposals for gas membranes received from a builder for a site with known made ground, past shallow mining and within 250m of a landfill site.",u,0,0,1,0
46,"The support is also very good, which was a neccessary factor for a novice website builder like myself.",d,0,0,0,1
47,"The works were funded through a Disabled Facilities Grant and partnership work with Care and Repair, Social Services and local builder Craig Day Developments.",m,0,1,0,0
48,"On way back stop at rec for tail of mini-boot: get blue shutters, croquet set, ''big builder'' stuff, semi-duplo, wooden blinds forced on me.",u,0,0,1,0
49,"One-off orders are more of a challenge, as the individual requirements of each customer vary enormously, this is where the experience of the true wheel builder counts.",u,0,0,1,0
50,"'' His neck goes up and down in size according to where he is in the season: right now, it is as swollen and sinewy as that of an amateur body builder.",d,0,0,0,1
51,"What methods are used to access window, keyboardProcessor, named components and aspect models from a builder?",d,0,0,0,1
52,"I am a web designer/builder based in Cardiff, Wales (UK) that passionately believes in building standards-based web sites.",d,0,0,0,1
53,"The Course: Following a light-hearted but serious safety briefing with the school''s host Adrian Fawdington , course-goers are introduced to Alan Cooper, who founded the racing school 20 years ago, and is designer and builder of the single-seater Swift Cooper 1600cc that is used by the school.",m,0,1,0,0
54,"August 2005 09:08 PM Gary, Im have no legal knowledge, if it was up to me the builder would sign a paper taking 100% liability for the aircraft that he built and this would be mandatory before a permit was issued.",u,0,0,1,0
55,You need to be very sure that you or your builder is familiar with all the relevant regulations and you will need to prove that the works comply when the Building Control Officer visits the site.,u,0,0,1,0
56,"It was this Darius, not Darius the Great, who is most likely the rebuilder or builder of the Jerusalem temple (417?",m,0,1,0,0
57,"( fn. 86 ) Ashwell withdrew in 1881 and Pickett (d. 1893), who by then described himself as a master builder and lived in South Hill Park, was under-financed and built cheaply, mostly semi-detached and terraced tall but cramped redbrick houses for the middle class.",m,0,1,0,0
58,Resumes and supplemental data information submitted through the Army Resume Builder... army builder resume us Offers a army builder resume us that relates to resume help and the process of free resume help... army builder resume Offers a army builder resume that relates to online resume builder and the process of free online resume builder...,d,0,0,0,1
59,"The builder builds the house and the builder checks that it all works in accordance with the ""User Functions Design"" document plus any agreed and signed off changes.",u,0,0,1,0
60,"Problems off the table began to affect this solid break builder and potter and although there were a couple more semi-finals and a few quarters in the next few seasons, his best days seemed to be behind him.",m,0,1,0,0
61,"Drawing on his vast amount of practical experience as a motivator and team builder he brings to life a whole new world of fun motivational terminology and characters that everyone can instantly identify with, take away and put to good use - a world not a million miles away where TNTs rule and Neg Ferrets, BLOATERS and Sinkers reside...all of whom you will no doubt instantly recognise!",m,0,1,0,0
62,"Mr Chapman said: ""At the moment any builder or person can go out and call themselves a builder and start getting work.",u,0,0,1,0
63,"Whether your interest is a single derelict dwelling or an Option Agreement with a national house builder, our experienced team can provide a professional service to meet the individual requirements of each project.",u,0,0,1,0
64,"missing. - ABC News (World) September 07 1999: Deadly Quake Shakes Athens - At least 22 are dead and more than 100 are missing in Athens after a powerful earthquake toppled buildings and trapped people in the rubble. - ABC News September 06 1999: Monsoon has run only half its course - Hindustan Times September 06 1999: The BBC''s Chris Morris examines whether Greece''s widespread sympathy for Turkey following the earthquake could translate into real political progress between the two countries. - BBC (Europe) September 06 1999: Runaway quake builder arrested - Police in Turkey are questioning a building contractor responsible for hundreds of homes which collapsed in last month''s earthquake. - BBC (World) September 06 1999: Civilian suffering in last month''s earthquake prompts a change of policy by Greece on Turkey''s candidature for European Union membership. - BBC (World) September 06 1999: Three killed, seven missing in Bulgaria floods - CNN (Europe) September 06 1999: Scores of prisoners escape from Niger jail in dust storm - CNN (Africa) September 06 1999: Tropical Storm Greg",u,0,0,1,0
65,Employing a builder Finding A Builder If you are not going to do the work yourself you should always take care when finding a builder to do it for you.,u,0,0,1,0
66,"Never was a church in greater need of the services of architect and builder, and never was a stronger claim made for help than Mr. Adkin makes on behalf of a poor agricultural parish.",u,0,0,1,0
67,"When deciding which builder to choose, always get prices in writing from at least two firms, three if you can.",u,0,0,1,0
68,"(This is provided by in.house.media.) .com or .net domain name for 1 year 3 page web site (Create your own site using our web site builder software) 1 email forwarding address FREE web hosting account for 1 year FREE access to our site builder software for 1 year, this software allows you to build and update you web site at any time!",d,0,0,0,1
69,"I have no idea how good he is as we''ve never had to use a builder, but he''s a nice fellow!",m,0,1,0,0
70,The nuclear industry has been shaken by recent news that the first reactor being constructed in Western Europe for two decades - at Olkiluoto in Finland - is running wildly over budget and causing financial losses for French builder Areva.,u,0,0,1,0
71,"Then, since the subjective mind is the automatic builder of the body, the result of the individual''s acceptance of the Resurrection principle must be that this mental conception will eventually work out as a corresponding fact.",d,0,0,0,1
72,"Again, we didnâ€TMt introduce the land, but were approached by the owners (a well known national house builder) to introduce a buyer when planning for several sites came through at once.",u,0,0,1,0
73,Choosing and controlling your builder..,u,0,0,1,0
