Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
73,"Two years later he acquired American citizenship (on which occasion the judge who swore him in made the unfortunate error of asking his opinion of the U.S. Constitution, and thereby unleashed a pent-up lecture on its inconsistencies.) But Gödel was not promoted to professor until 1953 -- the same year he was elected to membership in the National Academy of Sciences -- in part because his expressed fear that poison gases were escaping from his refrigerator aroused continuing concern about his mental stability.",m,0,1,0,0
74,"Contributors include Antony Sutton, author of ''America''s Secret Establishment,'' Dr Ralph Bunch, professor emeritus of political science at Portland State University; Webster Griffin Tarpley and Anton Chaitkin, author and historians; and Howard Altman, editor of the ''Philadelphia City Paper''.",m,0,1,0,0
75,"A master of defence who was once called ""the professor of the sweet science"", he had won an Olympic gold in 1920 in Antwerp and five Amateur Boxing Association (ABA) championships in succession.",d,0,0,0,1
76,PROFESSOR BASANT PURI Professor Puri is a both a medical practitioner and a senior scientist.,u,0,0,1,0
77,"The journal''s editor, Dr Bruce Russett, professor of political science at Yale, eventually decided to publish because, as he said in an ''Editor''s Comment'', although the theory seems impossible, the study met the stringent scientific standards needed for inclusion in the journal.",m,0,1,0,0
78,"A refugee from political and anti-semitic persecution in his native Poland, Professor Bauman was the first professor of sociology at Leeds.",u,0,0,1,0
79,"This institution was founded in 1795, by Mr. John Anderson, professor of natural philosophy in the university of Glasgow, who endowed it with a valuable library, museum, and philosophical apparatus.",m,0,1,0,0
80,"It was written by a real-life professor of philosophy, Charles Randolph, and directed by Alan Parker, previously best known for ''The Commitments'' and ''Evita''.",m,0,1,0,0
81,He is a professor at the Navy War College in Rhode Island with a very clear view about the militaristic role of America in the new 21st Century World.,m,0,1,0,0
82,"Fantastic for the consultant, professional, or professor - and a superior marketing plan for any company seeking to position themselves as ""experts"" in their field of expertise.",u,0,0,1,0
83,Conquest Our biblical professor now starts to set Moses and his Israelites against the rest of the Hyksos!,u,0,0,1,0
84,"""Parents are highly motivated to have the best child possible - some would consider such a selection technique if it were available,"" the Institute of Psychiatry professor told BBC News Online.",u,0,0,1,0
85,If any emergency arose with elective or post-operative patients on the wards the SHO would normally be expected to communicate with the specialist registrar who would then be expected to relay to the consultant on duty any concerns or difficulties. 14 When first interviewed the professor stated that the clinical arrangements for weekend cover were unchanged since the time of Mrs G''s death.,u,0,0,1,0
86,"He is Dr Ahmad Chalabi, a businessman, maths professor, and the leading figure in the Iraqi National Congress, an umbrella grouping of anti-Saddam organisations.",m,0,1,0,0
87,"""Succinate is a high-priority chemical that the U.S. Department of Energy has targeted for biosynthesis,"" said process co-developer George Bennett, professor and chair of the department of biochemistry and cell biology at Rice.",m,0,1,0,0
88,"be entitled to refer the case for consideration by the full Graduate Studies Committee or the Faculty Board in the event that there is an irreconcilable difference of view between the Director of Graduate Studies and an interviewer about how to deal with a student issue arising in the interviewer''s field, which for practical reasons needs to be resolved before the next meeting of the Committee, the DGS shall inform the Regius Professor (or, if the Regius Professor is not a member of the committee or otherwise unavailable to act, the most senior other statutory professor among members of the committee, provided of course that the professor asked to play this role is not the dissenting interviewer).",u,0,0,1,0
89,Boje professor of patrick rp mcmurphy it was conway it exists to.,u,0,0,1,0
90,""" From that point, Mary was forced each day to sit with a Muslim professor who taught her about the Islamic religion.",u,0,0,1,0
91,Jared Diamond is a professor of physiology at UCLA,m,0,1,0,0
92,In anthropology if you numbered your pages the professor would call you a reductionist.,u,0,0,1,0
93,"""The biotech research, it has a place in encouraging conservation tillage and that is to minimize soil disturbance, but I don''t know if that alone ... will increase the conservation tillage,"" said Mahdi Al-Kaisi, an assistant professor of soil management at Iowa State University.",u,0,0,1,0
